pe,P_proxy_W,T_proxy_K
0,0.3,321.7295137989061
1,2.9074074074074074,324.15845214790795
2,3.559259259259259,325.0187827428756
3,0.3,322.0425788708242
4,3.559259259259259,325.0494971443213
5,3.559259259259259,324.379528754405
6,3.559259259259259,324.4755530931209
7,2.9074074074074074,324.16525136454294
8,2.9074074074074074,324.1277377464622
9,3.559259259259259,324.4755530931209
10,3.559259259259259,324.429546911846
11,2.5814814814814815,323.81575320505215
12,0.3,322.0099239021891
13,3.559259259259259,325.03128728223584
14,2.5814814814814815,323.7907441263316
15,0.3,322.0129001738668
