task_id,pe_id,start_time_proxy_ns,finish_time_proxy_ns,duration_proxy_ns,data_ready_time_proxy_ns,priority_bottom_level_ns
1,7,0.0,8000.0,8000.0,0.0,84060.0
2,6,8140.0,18140.0,10000.0,8140.0,75920.0
3,10,18860.0,28860.0,10000.0,18860.0,65200.0
4,2,30300.0,40300.0,10000.0,30300.0,53760.0
5,5,41580.0,51580.0,10000.0,41580.0,42480.0
6,4,52220.0,62220.0,10000.0,52220.0,31840.0
7,9,63420.0,73420.0,10000.0,63420.0,20640.0
8,13,74060.0,84060.0,10000.0,74060.0,10000.0
9,8,74060.0,82060.0,8000.0,74060.0,8000.0
10,1,74700.0,82700.0,8000.0,74700.0,8000.0
11,11,8140.0,15140.0,7000.0,8140.0,7000.0
12,14,29580.0,36580.0,7000.0,29580.0,7000.0
