task_id,pe_id,start_time_proxy_ns,finish_time_proxy_ns,duration_proxy_ns,data_ready_time_proxy_ns,priority_bottom_level_ns
1,5,0.0,15000.0,15000.0,0.0,119360.0
2,4,15240.0,33240.0,18000.0,15240.0,104120.0
3,7,33720.0,58720.0,25000.0,33720.0,85640.0
4,11,33880.0,53880.0,20000.0,33880.0,60560.0
5,6,58880.0,78880.0,20000.0,58880.0,60480.0
6,1,79120.0,104120.0,25000.0,79120.0,40240.0
8,8,15480.0,33480.0,18000.0,15480.0,18000.0
11,10,15480.0,30480.0,15000.0,15480.0,15000.0
7,2,104360.0,119360.0,15000.0,104360.0,15000.0
9,8,104840.0,114840.0,10000.0,104840.0,10000.0
10,5,104360.0,114360.0,10000.0,104360.0,10000.0
