pe,P_proxy_W,T_proxy_K
0,0.3,322.06182443739806
1,2.9074074074074074,324.0317134077463
2,3.559259259259259,324.9600248016103
3,2.5814814814814815,324.24057131416276
4,2.5814814814814815,323.7379969178431
5,3.559259259259259,324.60909104991754
6,3.559259259259259,324.25849533696856
7,3.559259259259259,324.9350157228898
8,2.9074074074074074,324.79834939126926
9,3.559259259259259,324.52284219951434
10,3.559259259259259,324.57157743183683
11,3.559259259259259,324.8487668724866
12,0.3,322.07539900710753
13,0.3,321.32170118113737
14,2.9074074074074074,324.2220687386189
15,0.3,321.9799045307179
