pe,P_proxy_W,T_proxy_K
0,2.5814814814814815,324.12653849006347
1,3.559259259259259,324.9907064926092
2,3.559259259259259,324.8507401501227
3,0.2999999999999998,322.09632907335424
4,3.559259259259259,324.9907064926092
5,3.559259259259259,324.21148616165215
6,2.9074074074074074,323.7775597681809
7,2.9074074074074074,324.1365102407333
8,3.559259259259259,324.82573107140223
9,3.559259259259259,324.6435956858738
10,3.559259259259259,324.4883375635581
11,2.5814814814814815,324.4248451470995
12,0.3,322.1779664949419
13,2.9074074074074074,324.1990329375346
14,0.3,321.3937194351743
15,0.3,322.0485402610659
