task_id,pe_id,start_time_proxy_ns,finish_time_proxy_ns,duration_proxy_ns,data_ready_time_proxy_ns,priority_bottom_level_ns
3,12,0.0,20000.0,20000.0,0.0,132129.91999999998
4,9,0.0,20000.0,20000.0,0.0,131884.16
2,9,20000.0,40000.0,20000.0,0.0,131802.24
1,14,0.0,20000.0,20000.0,0.0,131474.56
11,13,20081.92,50081.92,30000.0,20081.92,111802.24
7,9,40000.0,70000.0,30000.0,40000.0,111638.4
8,11,40163.84,70163.84,30000.0,40163.84,111638.4
9,3,20491.52,50491.520000000004,30000.0,20491.52,111638.4
10,1,20327.68,50327.68,30000.0,20327.68,111638.4
5,11,70163.84,100163.84,30000.0,20163.84,111310.72
6,11,100163.84,130163.84,30000.0,20163.84,111310.72
12,15,20245.76,50245.759999999995,30000.0,20245.76,110819.2
18,6,70327.68,120327.68,50000.0,70327.68,81310.72
20,14,70491.51999999999,120491.51999999999,50000.0,70491.51999999999,81310.72
24,4,50655.36,100655.36,50000.0,50655.36,81310.72
25,11,130163.84,180163.84,50000.0,50573.439999999995,81310.72
16,14,130491.51999999999,180491.52,50000.0,130491.51999999999,80983.04000000001
22,11,180163.84,230163.84,50000.0,50819.200000000004,80983.04000000001
23,0,50491.52,100491.51999999999,50000.0,50491.52,80983.04000000001
13,12,100819.2,150819.2,50000.0,100819.2,80655.36
14,6,120327.68,170327.68,50000.0,100491.51999999999,80655.36
19,6,170327.68,220327.68,50000.0,70491.51999999999,80655.36
21,12,150819.2,200819.2,50000.0,51474.560000000005,80655.36
27,11,230163.84,280163.83999999997,50000.0,50409.59999999999,80655.36
15,3,130491.51999999999,180491.52,50000.0,130491.51999999999,80327.68
28,6,220327.68,270327.68,50000.0,50737.27999999999,80327.68
17,12,200819.2,250819.2,50000.0,70327.68,80000.0
26,3,180491.52,230491.52,50000.0,50901.119999999995,80000.0
31,12,250819.2,280819.2,30000.0,250819.2,30000.0
32,3,230491.52,260491.52,30000.0,230491.52,30000.0
29,14,280819.19999999995,310819.19999999995,30000.0,280819.19999999995,30000.0
30,2,270655.36,300655.36,30000.0,270655.36,30000.0
