task_id,pe_id,start_time_proxy_ns,finish_time_proxy_ns,duration_proxy_ns,data_ready_time_proxy_ns,priority_bottom_level_ns
1,2,0.0,15000.0,15000.0,0.0,120240.0
2,8,15960.0,33960.0,18000.0,15960.0,104280.0
3,14,34440.0,59440.0,25000.0,34440.0,85800.0
5,6,59760.0,79760.0,20000.0,59760.0,60480.0
4,10,34280.0,54280.0,20000.0,34280.0,60320.0
6,9,80000.0,105000.0,25000.0,80000.0,40240.0
8,4,15720.0,33720.0,18000.0,15720.0,18000.0
11,5,15480.0,30480.0,15000.0,15480.0,15000.0
7,13,105240.0,120240.0,15000.0,105240.0,15000.0
9,1,105480.0,115480.0,10000.0,105480.0,10000.0
10,7,105720.0,115720.0,10000.0,105720.0,10000.0
