# HNN — Heavy Neural Network stress-test benchmark (2026-05-30)
# 33 tasks, all 16 PEs, max 16 concurrent, data 2-16KB
# Stage 0: GB → 4 initial PEs (spread across mesh)
0, -1, 0, 4096, 1:0, 2:4, 3:8, 4:12
# Stage 1: 4 initial → 8 fan-out [4 parallel → 8 parallel]
1, 0, 20000, 4096, 5:1, 6:2
2, 4, 20000, 4096, 7:5, 8:6
3, 8, 20000, 4096, 9:9, 10:10
4, 12, 20000, 4096, 11:13, 12:14
# Stage 2: 8 → 16 fan-out [8 parallel]
5, 1, 30000, 8192, 13:0, 14:3
6, 2, 30000, 8192, 15:4, 16:7
7, 5, 30000, 8192, 17:8, 18:11
8, 6, 30000, 8192, 19:12, 20:15
9, 9, 30000, 8192, 21:0, 22:3
10, 10, 30000, 8192, 23:4, 24:7
11, 13, 30000, 8192, 25:8, 26:11
12, 14, 30000, 8192, 27:12, 28:15
# Stage 3: ALL 16 PEs parallel, one task per PE [16 parallel]
13, 0, 50000, 16384, 29:14
14, 3, 50000, 16384, 29:14
15, 4, 50000, 16384, 30:15
16, 7, 50000, 16384, 30:15
17, 8, 50000, 16384, 31:12
18, 11, 50000, 16384, 31:12
19, 12, 50000, 16384, 32:13
20, 15, 50000, 16384, 32:13
21, 0, 50000, 16384, 29:14
22, 3, 50000, 16384, 30:15
23, 4, 50000, 16384, 31:12
24, 7, 50000, 16384, 32:13
25, 8, 50000, 16384, 31:12
26, 11, 50000, 16384, 32:13
27, 12, 50000, 16384, 29:14
28, 15, 50000, 16384, 30:15
# Stage 4: 4 reducers → GB [4 parallel]
29, 14, 30000, 4096, 33:-1
30, 15, 30000, 4096, 33:-1
31, 12, 30000, 4096, 33:-1
32, 13, 30000, 4096, 33:-1
# GB sink
33, -1, 0, 0
