# Random Mapping Ensemble sample 1517 seed=1517
# Optimized static mapping — 32 mappable tasks
0, -1, 0, 8192, 1:12, 2:15, 3:0, 4:9
1, 12, 20000, 8192, 5:6, 6:1
2, 15, 20000, 8192, 7:4, 8:11
3, 0, 20000, 8192, 9:6, 10:6
4, 9, 20000, 8192, 11:15, 12:0
5, 6, 30000, 16384, 13:2, 14:7
6, 1, 30000, 16384, 15:15, 16:13
7, 4, 30000, 16384, 17:1, 18:2
8, 11, 30000, 16384, 19:6, 20:0
9, 6, 30000, 16384, 21:0, 22:8
10, 6, 30000, 16384, 23:3, 24:1
11, 15, 30000, 16384, 25:9, 26:1
12, 0, 30000, 16384, 27:9, 28:1
13, 2, 50000, 32768, 29:13
14, 7, 50000, 32768, 29:13
15, 15, 50000, 32768, 30:10
16, 13, 50000, 32768, 30:10
17, 1, 50000, 32768, 31:0
18, 2, 50000, 32768, 31:0
19, 6, 50000, 32768, 32:8
20, 0, 50000, 32768, 32:8
21, 0, 50000, 32768, 29:13
22, 8, 50000, 32768, 30:10
23, 3, 50000, 32768, 31:0
24, 1, 50000, 32768, 32:8
25, 9, 50000, 32768, 31:0
26, 1, 50000, 32768, 32:8
27, 9, 50000, 32768, 29:13
28, 1, 50000, 32768, 30:10
29, 13, 30000, 8192, -1:-1
30, 10, 30000, 8192, -1:-1
31, 0, 30000, 8192, -1:-1
32, 8, 30000, 8192, -1:-1
