# Random Mapping Ensemble sample 1759 seed=1759
# Optimized static mapping — 32 mappable tasks
0, -1, 0, 8192, 1:14, 2:5, 3:13, 4:1
1, 14, 20000, 8192, 5:0, 6:9
2, 5, 20000, 8192, 7:5, 8:11
3, 13, 20000, 8192, 9:14, 10:8
4, 1, 20000, 8192, 11:1, 12:12
5, 0, 30000, 16384, 13:9, 14:6
6, 9, 30000, 16384, 15:7, 16:9
7, 5, 30000, 16384, 17:2, 18:12
8, 11, 30000, 16384, 19:14, 20:6
9, 14, 30000, 16384, 21:1, 22:0
10, 8, 30000, 16384, 23:6, 24:9
11, 1, 30000, 16384, 25:9, 26:7
12, 12, 30000, 16384, 27:7, 28:2
13, 9, 50000, 32768, 29:11
14, 6, 50000, 32768, 29:11
15, 7, 50000, 32768, 30:15
16, 9, 50000, 32768, 30:15
17, 2, 50000, 32768, 31:12
18, 12, 50000, 32768, 31:12
19, 14, 50000, 32768, 32:13
20, 6, 50000, 32768, 32:13
21, 1, 50000, 32768, 29:11
22, 0, 50000, 32768, 30:15
23, 6, 50000, 32768, 31:12
24, 9, 50000, 32768, 32:13
25, 9, 50000, 32768, 31:12
26, 7, 50000, 32768, 32:13
27, 7, 50000, 32768, 29:11
28, 2, 50000, 32768, 30:15
29, 11, 30000, 8192, -1:-1
30, 15, 30000, 8192, -1:-1
31, 12, 30000, 8192, -1:-1
32, 13, 30000, 8192, -1:-1
