# Random Mapping Ensemble sample 1767 seed=1767
# Optimized static mapping — 32 mappable tasks
0, -1, 0, 8192, 1:15, 2:9, 3:10, 4:8
1, 15, 20000, 8192, 5:11, 6:14
2, 9, 20000, 8192, 7:3, 8:10
3, 10, 20000, 8192, 9:9, 10:3
4, 8, 20000, 8192, 11:8, 12:15
5, 11, 30000, 16384, 13:4, 14:0
6, 14, 30000, 16384, 15:12, 16:9
7, 3, 30000, 16384, 17:6, 18:0
8, 10, 30000, 16384, 19:8, 20:2
9, 9, 30000, 16384, 21:4, 22:7
10, 3, 30000, 16384, 23:3, 24:12
11, 8, 30000, 16384, 25:0, 26:9
12, 15, 30000, 16384, 27:5, 28:11
13, 4, 50000, 32768, 29:15
14, 0, 50000, 32768, 29:15
15, 12, 50000, 32768, 30:13
16, 9, 50000, 32768, 30:13
17, 6, 50000, 32768, 31:15
18, 0, 50000, 32768, 31:15
19, 8, 50000, 32768, 32:10
20, 2, 50000, 32768, 32:10
21, 4, 50000, 32768, 29:15
22, 7, 50000, 32768, 30:13
23, 3, 50000, 32768, 31:15
24, 12, 50000, 32768, 32:10
25, 0, 50000, 32768, 31:15
26, 9, 50000, 32768, 32:10
27, 5, 50000, 32768, 29:15
28, 11, 50000, 32768, 30:13
29, 15, 30000, 8192, -1:-1
30, 13, 30000, 8192, -1:-1
31, 15, 30000, 8192, -1:-1
32, 10, 30000, 8192, -1:-1
