task_id,pe_id,start_time_proxy_ns,finish_time_proxy_ns,duration_proxy_ns,data_ready_time_proxy_ns,priority_bottom_level_ns
1,1,0.0,15000.0,15000.0,0.0,115501.76000000001
5,1,15000.0,65000.0,50000.0,15000.0,100133.12
3,15,15409.6,65409.6,50000.0,15409.6,100092.16
4,1,65000.0,115000.0,50000.0,15000.0,100051.20000000001
2,1,115000.0,165000.0,50000.0,15000.0,100040.95999999999
6,1,165000.0,195000.0,30000.0,165000.0,50040.96
8,5,115020.48,145020.47999999998,30000.0,115020.48,50030.72
9,15,65409.6,95409.6,30000.0,65102.4,50030.72
7,8,65491.52,95491.51999999999,30000.0,65491.52,50010.240000000005
10,12,195040.96,215040.96,20000.0,195040.96,20000.0
