task_id,pe_id,start_time_proxy_ns,finish_time_proxy_ns,duration_proxy_ns,data_ready_time_proxy_ns,priority_bottom_level_ns
2,4,0.0,20000.0,20000.0,0.0,132539.52000000002
3,7,0.0,20000.0,20000.0,0.0,131884.16
1,15,0.0,20000.0,20000.0,0.0,131720.32
4,10,0.0,20000.0,20000.0,0.0,130983.04
7,15,20409.6,50409.6,30000.0,20409.6,112129.92
10,1,20245.76,50245.759999999995,30000.0,20245.76,111638.40000000001
8,10,20245.76,50245.759999999995,30000.0,20245.76,111638.4
9,10,50245.759999999995,80245.76,30000.0,20163.84,111638.4
5,4,20409.6,50409.6,30000.0,20409.6,111310.72
11,15,50409.6,80409.6,30000.0,20163.84,110819.2
12,12,20245.76,50245.759999999995,30000.0,20245.76,110655.36
6,5,20327.68,50327.68,30000.0,20327.68,110655.35999999999
18,3,50901.119999999995,100901.12,50000.0,50901.119999999995,81638.4
20,13,50573.439999999995,100573.44,50000.0,50573.439999999995,81310.72
21,2,80573.43999999999,130573.43999999999,50000.0,80573.43999999999,81310.72
13,6,50737.28,100737.28,50000.0,50737.28,80983.04000000001
19,14,50409.59999999999,100409.59999999999,50000.0,50409.59999999999,80983.04000000001
23,14,100409.59999999999,150409.59999999998,50000.0,50901.119999999995,80983.04000000001
14,10,80245.76,130245.76,50000.0,50901.119999999995,80655.36
17,13,100573.44,150573.44,50000.0,50737.28,80655.36
22,1,80737.28,130737.28,50000.0,80737.28,80655.36
28,12,50245.759999999995,100245.76,50000.0,50245.759999999995,80655.36
15,5,50327.68,100327.68,50000.0,50327.68,80327.68
16,0,50655.36,100655.36,50000.0,50655.36,80327.68
25,9,80901.12000000001,130901.12000000001,50000.0,80901.12000000001,80327.68
26,6,100737.28,150737.28,50000.0,80901.12000000001,80327.68
27,9,130901.12000000001,180901.12,50000.0,50573.439999999995,80327.68
24,2,130573.43999999999,180573.44,50000.0,50409.59999999999,80000.0
31,8,151392.63999999998,181392.63999999998,30000.0,151392.63999999998,30000.0
32,2,180573.44,210573.44,30000.0,180573.44,30000.0
29,8,181392.63999999998,211392.63999999998,30000.0,181228.8,30000.0
30,4,131392.63999999998,161392.63999999998,30000.0,131392.63999999998,30000.0
