pe,P_proxy_W,T_proxy_K
0,0.3,322.20494885129864
1,2.5814814814814815,323.8870156856777
2,0.3,321.53424096235784
3,0.3,322.0448480200909
4,2.5814814814814815,323.5986954488998
5,3.559259259259259,324.6466046679983
6,2.9074074074074074,323.70578873477405
7,2.9074074074074074,324.98588009376925
8,3.559259259259259,324.9350157228898
9,3.559259259259259,324.25849533696856
10,3.559259259259259,324.5965865105573
11,2.9074074074074074,324.15468739237195
12,3.559259259259259,325.5069702220671
13,3.559259259259259,324.89750210480906
14,3.559259259259259,324.832439388169
15,0.3,321.79094260179767
