task_id,pe_id,start_time_proxy_ns,finish_time_proxy_ns,duration_proxy_ns,data_ready_time_proxy_ns,priority_bottom_level_ns
1,7,0.0,8000.0,8000.0,0.0,83700.0
2,9,8420.0,18420.0,10000.0,8420.0,75280.0
3,5,19140.0,29140.0,10000.0,19140.0,64560.0
4,13,30580.0,40580.0,10000.0,30580.0,53120.0
5,12,41220.0,51220.0,10000.0,41220.0,42480.0
6,8,51860.0,61860.0,10000.0,51860.0,31840.0
7,10,63060.0,73060.0,10000.0,63060.0,20640.0
8,14,73700.0,83700.0,10000.0,73700.0,10000.0
9,11,73700.0,81700.0,8000.0,73700.0,8000.0
10,6,73700.0,81700.0,8000.0,73700.0,8000.0
11,1,8420.0,15420.0,7000.0,8420.0,7000.0
12,4,29860.0,36860.0,7000.0,29860.0,7000.0
