task_id,pe_id,start_time_proxy_ns,finish_time_proxy_ns,duration_proxy_ns,data_ready_time_proxy_ns,priority_bottom_level_ns
1,9,0.0,8000.0,8000.0,0.0,84060.0
2,8,8140.0,18140.0,10000.0,8140.0,75920.0
3,5,19580.0,29580.0,10000.0,19580.0,64480.0
4,6,30300.0,40300.0,10000.0,30300.0,53760.0
5,2,40940.0,50940.0,10000.0,40940.0,43120.0
6,7,52220.0,62220.0,10000.0,52220.0,31840.0
7,10,63420.0,73420.0,10000.0,63420.0,20640.0
8,14,74060.0,84060.0,10000.0,74060.0,10000.0
9,1,75340.0,83340.0,8000.0,75340.0,8000.0
10,11,74060.0,82060.0,8000.0,74060.0,8000.0
11,13,8140.0,15140.0,7000.0,8140.0,7000.0
12,4,30300.0,37300.0,7000.0,30300.0,7000.0
