task_id,pe_id,start_time_proxy_ns,finish_time_proxy_ns,duration_proxy_ns,data_ready_time_proxy_ns,priority_bottom_level_ns
1,4,0.0,8000.0,8000.0,0.0,84320.0
2,1,8280.0,18280.0,10000.0,8280.0,76040.0
3,6,19720.0,29720.0,10000.0,19720.0,64600.0
4,11,31160.0,41160.0,10000.0,31160.0,53160.0
5,14,42440.0,52440.0,10000.0,42440.0,41880.0
6,10,53080.0,63080.0,10000.0,53080.0,31240.0
7,9,63680.0,73680.0,10000.0,63680.0,20640.0
8,8,74320.0,84320.0,10000.0,74320.0,10000.0
9,5,74320.0,82320.0,8000.0,74320.0,8000.0
10,13,74320.0,82320.0,8000.0,74320.0,8000.0
11,7,8420.0,15420.0,7000.0,8420.0,7000.0
12,2,30440.0,37440.0,7000.0,30440.0,7000.0
