pe,P_proxy_W,T_proxy_K
0,0.3,322.1746201803069
1,3.559259259259259,325.04093916023345
2,2.5814814814814815,323.83875629568956
3,0.3,321.96488800450885
4,2.9074074074074074,324.1373896244598
5,2.9074074074074074,323.6575293447859
6,3.559259259259259,324.4065438212085
7,2.5814814814814815,323.83875629568956
8,3.559259259259259,325.0975093136793
9,3.559259259259259,324.3565256637675
10,3.559259259259259,324.49855618375835
11,3.559259259259259,324.9832751128779
12,0.3,321.71415659818325
13,2.9074074074074074,324.2064643172659
14,3.559259259259259,324.9707705735176
15,0.3,322.03292699282656
