task_id,pe_id,start_time_proxy_ns,finish_time_proxy_ns,duration_proxy_ns,data_ready_time_proxy_ns,priority_bottom_level_ns
1,10,0.0,15000.0,15000.0,0.0,119840.0
2,6,15240.0,33240.0,18000.0,15240.0,104600.0
3,9,33560.0,58560.0,25000.0,33560.0,86280.0
5,14,58880.0,78880.0,20000.0,58880.0,60960.0
4,3,33560.0,53560.0,20000.0,33560.0,60640.0
6,1,79360.0,104360.0,25000.0,79360.0,40480.0
8,5,15480.0,33480.0,18000.0,15480.0,18000.0
11,7,15480.0,30480.0,15000.0,15480.0,15000.0
7,9,104840.0,119840.0,15000.0,104840.0,15000.0
9,6,104840.0,114840.0,10000.0,104840.0,10000.0
10,11,105320.0,115320.0,10000.0,105320.0,10000.0
