task_id,pe_id,start_time_proxy_ns,finish_time_proxy_ns,duration_proxy_ns,data_ready_time_proxy_ns,priority_bottom_level_ns
1,13,0.0,15000.0,15000.0,0.0,119440.0
2,10,15480.0,33480.0,18000.0,15480.0,103960.0
3,5,33800.0,58800.0,25000.0,33800.0,85640.0
4,15,33800.0,53800.0,20000.0,33800.0,60480.0
5,6,58960.0,78960.0,20000.0,58960.0,60480.0
6,9,79200.0,104200.0,25000.0,79200.0,40240.0
8,0,15960.0,33960.0,18000.0,15960.0,18000.0
11,8,15480.0,30480.0,15000.0,15480.0,15000.0
7,10,104440.0,119440.0,15000.0,104440.0,15000.0
9,2,104920.0,114920.0,10000.0,104920.0,10000.0
10,12,104680.0,114680.0,10000.0,104680.0,10000.0
