sample_id,sample_seed,valid_for_cost,failure_reason,mapping_csv,TR2_composite_cost,T1_pe_peak_temp_K,T3_temp_std_K,T5_over_throttle_count,P1_makespan_s,P3_dvfs_penalty_pct,C1_total_comm_cost,raw_congestion_cost,raw_load_imbalance,E7_pe_optical_comm_energy_J,run_ok,temperature_source,parsed_pe_count,assignment
0,0,True,,mpeg4\random\mappings\sample_000_seed_0.csv,5.234834445657772,325.90628118302,1.2737846101614025,0,0.0001215316,0.0,516000.0,96000.0,1.3784435733669582,0.0011289912444505622,True,vec,16,"{""1"": 12, ""2"": 13, ""3"": 15, ""4"": 12, ""5"": 9, ""6"": 15, ""7"": 11, ""8"": 1, ""9"": 6, ""10"": 4, ""11"": 8}"
1,1,True,,mpeg4\random\mappings\sample_001_seed_1.csv,6.3015363706490835,327.27395614383,1.412591537841248,2,0.0001221069,0.007184249999999999,668000.0,92000.0,1.5319481373865849,0.0011343205577289428,True,vec,16,"{""1"": 4, ""2"": 2, ""3"": 15, ""4"": 14, ""5"": 15, ""6"": 12, ""7"": 6, ""8"": 8, ""9"": 3, ""10"": 15, ""11"": 3}"
2,2,True,,mpeg4\random\mappings\sample_002_seed_2.csv,5.027914697165023,325.52635881452,1.1029932584131388,0,0.0001216487,0.0,452000.0,104000.0,1.267920287272827,0.00112849968288789,True,vec,16,"{""1"": 1, ""2"": 2, ""3"": 5, ""4"": 9, ""5"": 8, ""6"": 6, ""7"": 1, ""8"": 2, ""9"": 5, ""10"": 13, ""11"": 11}"
3,3,True,,mpeg4\random\mappings\sample_003_seed_3.csv,5.695940015901268,327.19011491557,1.2789411766526182,1,0.0001230269,0.00029374999999999996,600000.0,88000.0,1.3345851265042077,0.0011380606911890084,True,vec,16,"{""1"": 7, ""2"": 4, ""3"": 2, ""4"": 0, ""5"": 15, ""6"": 8, ""7"": 7, ""8"": 11, ""9"": 6, ""10"": 15, ""11"": 15}"
4,4,True,,mpeg4\random\mappings\sample_004_seed_4.csv,5.115657890238889,326.27733823694,1.2178778797538667,0,0.0001216957,0.0,624000.0,72000.0,1.2951125243277322,0.001129820228485717,True,vec,16,"{""1"": 7, ""2"": 9, ""3"": 15, ""4"": 4, ""5"": 2, ""6"": 2, ""7"": 0, ""8"": 3, ""9"": 12, ""10"": 9, ""11"": 12}"
5,5,True,,mpeg4\random\mappings\sample_005_seed_5.csv,5.42020626966098,327.15815727756,1.2495169855106618,1,0.0001221087,5.125e-05,500000.0,84000.0,1.0231901537786794,0.001132486231440343,True,vec,16,"{""1"": 8, ""2"": 11, ""3"": 7, ""4"": 1, ""5"": 5, ""6"": 3, ""7"": 11, ""8"": 0, ""9"": 15, ""10"": 7, ""11"": 14}"
6,6,True,,mpeg4\random\mappings\sample_006_seed_6.csv,5.827883020399657,327.27875734775,1.292406572991762,1,0.0001223476,0.012733571428571249,748000.0,80000.0,1.2600257668375319,0.001134545442434954,True,vec,16,"{""1"": 2, ""2"": 15, ""3"": 0, ""4"": 4, ""5"": 15, ""6"": 11, ""7"": 10, ""8"": 8, ""9"": 0, ""10"": 8, ""11"": 1}"
7,7,True,,mpeg4\random\mappings\sample_007_seed_7.csv,5.730535278550461,327.27554366929,1.3006871369591664,1,0.0001219867,0.0165940625,512000.0,84000.0,1.466160467092459,0.0011319893993428799,True,vec,16,"{""1"": 10, ""2"": 4, ""3"": 2, ""4"": 3, ""5"": 11, ""6"": 1, ""7"": 6, ""8"": 12, ""9"": 1, ""10"": 2, ""11"": 1}"
8,8,True,,mpeg4\random\mappings\sample_008_seed_8.csv,5.235276383283466,326.17340473009,1.1449807886727044,0,0.0001222198,0.0,548000.0,96000.0,1.470546311778734,0.0011323667662966937,True,vec,16,"{""1"": 7, ""2"": 11, ""3"": 6, ""4"": 1, ""5"": 2, ""6"": 4, ""7"": 7, ""8"": 12, ""9"": 6, ""10"": 12, ""11"": 4}"
9,9,True,,mpeg4\random\mappings\sample_009_seed_9.csv,5.016516496533672,326.40760617984,1.177644055060692,0,0.0001217468,0.0,620000.0,72000.0,1.071434445327705,0.001130286995362168,True,vec,16,"{""1"": 14, ""2"": 11, ""3"": 5, ""4"": 0, ""5"": 10, ""6"": 14, ""7"": 2, ""8"": 8, ""9"": 10, ""10"": 1, ""11"": 4}"
