task_id,pe_id,start_time_proxy_ns,finish_time_proxy_ns,duration_proxy_ns,data_ready_time_proxy_ns,priority_bottom_level_ns
1,1,0.0,15000.0,15000.0,0.0,115460.79999999999
5,13,15245.76,65245.76,50000.0,15245.76,100143.36
3,12,15327.68,65327.68,50000.0,15327.68,100133.12
2,13,65245.76,115245.76000000001,50000.0,15245.76,100112.64
4,1,15000.0,65000.0,50000.0,15000.0,100081.92
8,4,65040.96,95040.95999999999,30000.0,65040.96,50040.96
9,3,65348.16,95348.16,30000.0,65348.16,50040.96
6,7,115327.68000000001,145327.68,30000.0,115327.68000000001,50030.72
7,2,65430.08,95430.08,30000.0,65430.08,50030.72
10,14,145358.4,165358.4,20000.0,145358.4,20000.0
