task_id,pe_id,start_time_proxy_ns,finish_time_proxy_ns,duration_proxy_ns,data_ready_time_proxy_ns,priority_bottom_level_ns
1,14,0.0,8000.0,8000.0,0.0,87340.0
2,13,8140.0,18140.0,10000.0,8140.0,79200.0
3,8,19580.0,29580.0,10000.0,19580.0,67760.0
4,10,31020.0,41020.0,10000.0,31020.0,56320.0
5,4,42940.0,52940.0,10000.0,42940.0,44400.0
6,9,54220.0,64220.0,10000.0,54220.0,33120.0
7,11,65420.0,75420.0,10000.0,65420.0,21920.0
8,5,77340.0,87340.0,10000.0,77340.0,10000.0
9,6,76700.0,84700.0,8000.0,76700.0,8000.0
10,7,76060.0,84060.0,8000.0,76060.0,8000.0
11,2,8420.0,15420.0,7000.0,8420.0,7000.0
12,1,31740.0,38740.0,7000.0,31740.0,7000.0
