task_id,pe_id,start_time_proxy_ns,finish_time_proxy_ns,duration_proxy_ns,data_ready_time_proxy_ns,priority_bottom_level_ns
1,13,0.0,15000.0,15000.0,0.0,119960.0
2,7,15960.0,33960.0,18000.0,15960.0,104000.0
3,9,34440.0,59440.0,25000.0,34440.0,85520.0
4,3,34120.0,54120.0,20000.0,34120.0,60400.0
5,5,59600.0,79600.0,20000.0,59600.0,60360.0
6,6,79720.0,104720.0,25000.0,79720.0,40240.0
8,11,15720.0,33720.0,18000.0,15720.0,18000.0
11,1,15720.0,30720.0,15000.0,15720.0,15000.0
7,2,104960.0,119960.0,15000.0,104960.0,15000.0
9,10,104960.0,114960.0,10000.0,104960.0,10000.0
10,5,104960.0,114960.0,10000.0,104960.0,10000.0
