pe,P_proxy_W,T_proxy_K
0,0.3,322.0362733074616
1,3.559259259259259,325.0324138865924
2,0.3,321.3360553878187
3,0.3,321.89920118367104
4,3.559259259259259,324.79307610276715
5,3.559259259259259,324.61858660715325
6,3.559259259259259,324.46332848483763
7,2.5814814814814815,324.39219017846443
8,3.559259259259259,324.9907064926092
9,3.559259259259259,324.21148616165215
10,3.559259259259259,324.66860476459425
11,2.9074074074074074,324.1441561306479
12,2.5814814814814815,324.184202537419
13,2.9074074074074074,324.1496796536368
14,2.9074074074074074,324.0173592010649
15,0.3,322.2380222608346
