pe,P_proxy_W,T_proxy_K
0,2.5814814814814815,324.1418956907863
1,3.559259259259259,324.94269432325126
2,3.559259259259259,324.8737432407602
3,0.3,322.0483169039963
4,3.559259259259259,324.94269432325126
5,3.559259259259259,324.23448925228956
6,3.559259259259259,324.6205925952363
7,2.9074074074074074,324.15951333137076
8,3.559259259259259,324.8737432407602
9,3.559259259259259,324.6205925952363
10,2.9074074074074074,323.6453047365027
11,2.5814814814814815,324.40184205646204
12,0.3,322.16260929421907
13,2.9074074074074074,324.24704510689253
14,0.3,321.37071634453685
15,0.3,322.0965524304239
