task_id,pe_id,start_time_proxy_ns,finish_time_proxy_ns,duration_proxy_ns,data_ready_time_proxy_ns,priority_bottom_level_ns
1,7,0.0,8000.0,8000.0,0.0,82820.0
2,11,8140.0,18140.0,10000.0,8140.0,74680.0
3,9,19580.0,29580.0,10000.0,19580.0,63240.0
4,5,30300.0,40300.0,10000.0,30300.0,52520.0
5,1,40940.0,50940.0,10000.0,40940.0,41880.0
6,2,51580.0,61580.0,10000.0,51580.0,31240.0
7,6,62180.0,72180.0,10000.0,62180.0,20640.0
8,10,72820.0,82820.0,10000.0,72820.0,10000.0
9,8,74100.0,82100.0,8000.0,74100.0,8000.0
10,4,73460.0,81460.0,8000.0,73460.0,8000.0
11,14,8420.0,15420.0,7000.0,8420.0,7000.0
12,13,30300.0,37300.0,7000.0,30300.0,7000.0
