pe,P_proxy_W,T_proxy_K
0,0.3,321.9275757631302
1,3.559259259259259,325.0014522645165
2,3.559259259259259,325.0168094652394
3,0.3,321.76287948501243
4,2.9074074074074074,324.16042542554413
5,3.559259259259259,324.45154700844193
6,3.559259259259259,324.40353483908393
7,2.9074074074074074,324.1507735475465
8,2.9074074074074074,324.2247650792196
9,3.559259259259259,324.4410484571647
10,3.559259259259259,324.46405154780217
11,3.559259259259259,325.04278882755455
12,0.3,322.0570566878206
13,2.5814814814814815,323.8042516597334
14,2.5814814814814815,323.75623949037544
15,0.3,322.047404809823
