pe,P_proxy_W,T_proxy_K
0,0.3,321.9602307317653
1,3.559259259259259,325.0514704219575
2,2.9074074074074074,324.18342851618155
3,0.3,321.8795635937722
4,2.9074074074074074,324.16042542554413
5,2.9074074074074074,323.585511090749
6,3.559259259259259,324.42854391780446
7,3.559259259259259,325.0494644338745
8,3.559259259259259,325.0908009969125
9,3.559259259259259,324.4410484571647
10,3.559259259259259,324.46405154780217
11,3.559259259259259,325.0177797488341
12,0.3,322.0320476091001
13,2.5814814814814815,323.8042516597334
14,2.5814814814814815,323.75623949037544
15,0.3,322.0147498411879
