pe,P_proxy_W,T_proxy_K
0,0.3,321.9765582160828
1,2.9074074074074074,324.19793904362484
2,2.5814814814814815,323.79174712037315
3,0.3,321.98306515614746
4,3.559259259259259,325.02646134323703
5,2.9074074074074074,323.585511090749
6,3.559259259259259,324.4410484571647
7,3.559259259259259,325.065791918192
8,3.559259259259259,325.0494644338745
9,3.559259259259259,324.42854391780446
10,3.559259259259259,324.46405154780217
11,3.559259259259259,325.0177797488341
12,0.3,321.9285460467249
13,2.9074074074074074,324.2209421342623
14,2.5814814814814815,323.7437349510152
15,0.3,321.9984223568704
