task_id,pe_id,start_time_proxy_ns,finish_time_proxy_ns,duration_proxy_ns,data_ready_time_proxy_ns,priority_bottom_level_ns
1,1,0.0,8000.0,8000.0,0.0,83100.0
2,7,8420.0,18420.0,10000.0,8420.0,74680.0
3,6,19140.0,29140.0,10000.0,19140.0,63960.0
4,4,30580.0,40580.0,10000.0,30580.0,52520.0
5,8,41220.0,51220.0,10000.0,41220.0,41880.0
6,9,51860.0,61860.0,10000.0,51860.0,31240.0
7,10,62460.0,72460.0,10000.0,62460.0,20640.0
8,11,73100.0,83100.0,10000.0,73100.0,10000.0
9,5,73740.0,81740.0,8000.0,73740.0,8000.0
10,13,73740.0,81740.0,8000.0,73740.0,8000.0
11,2,8140.0,15140.0,7000.0,8140.0,7000.0
12,14,30580.0,37580.0,7000.0,30580.0,7000.0
